Produktnamn;EAN;Pris;Ordinarie pris;Länk;Bildlänk
Pepsodent Max Munskölj;7323571446436;1380,38;;http://example.com/product/7323571446436?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Munskölj
Philips Noise Cancelling Laptop;7395177111887;1096,64;;http://example.com/product/7395177111887?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Laptop
DeWalt Pro Tumstock;7319669922242;1014,78;1352,49;http://example.com/product/7319669922242?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Tumstock
ACO Original Värktablett;7343184559613;1233,67;;http://example.com/product/7343184559613?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Värktablett
Turtle Wax Extreme Motorolja 50ml;7335436244881;1376,13;;http://example.com/product/7335436244881?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Motorolja
Dove Repair Parfym;7389236152990;1455,02;2181,93;http://example.com/product/7389236152990?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Parfym
Castrol 5W-30 Bilvax;7354197112003;1937,92;2900,69;http://example.com/product/7354197112003?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Bilvax
Yes Eco Städmopp 2-pack;7344917656639;2084,58;;http://example.com/product/7344917656639?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Städmopp
Zara Slim Fit Tröja 1kg;7371996716561;1204,15;;http://example.com/product/7371996716561?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Tröja
Asus Fast Gaming Mus;7362704324792;995,55;;http://example.com/product/7362704324792?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Gaming Mus
Adidas Slim Fit Skjorta 50ml;7316983020073;1301,14;;http://example.com/product/7316983020073?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Skjorta
Estrella Mjölkchoklad Nötter 50ml;7382038790446;625,15;;http://example.com/product/7382038790446?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Nötter
Better Bodies Pro Vattenflaska;7344636036039;726,48;;http://example.com/product/7344636036039?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Vattenflaska
Via Soft Kastrull 2-pack;7336077001834;1873,67;;http://example.com/product/7336077001834?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Kastrull
Via Classic Kniv XL;7394472480029;948,99;;http://example.com/product/7394472480029?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Kniv
Ipren Mint Nässpray;7391353664066;1723,27;2517,10;http://example.com/product/7391353664066?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Nässpray
Gymshark Whey Sport-BH 50ml;7386301932687;995,13;;http://example.com/product/7386301932687?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Sport-BH
L'Oreal Active Schampo;7397808743756;466,07;;http://example.com/product/7397808743756?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Schampo
Alvedon Mint Nässpray 1kg;7393261835819;1547,29;1906,05;http://example.com/product/7393261835819?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Nässpray
Whiskas Chicken Hundleksak;7345497836909;136,25;;http://example.com/product/7345497836909?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Hundleksak
JBL Fast Laptop;7338534713810;578,27;723,03;http://example.com/product/7338534713810?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Laptop
Philips Classic Tvättmedel 50ml;7397872659430;2510,62;3712,95;http://example.com/product/7397872659430?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Tvättmedel
Royal Canin Chicken Hundfoder;7322521752070;2253,75;;http://example.com/product/7322521752070?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Hundfoder
Ipren Mint Handkräm 1kg;7350124429213;1045,77;1267,59;http://example.com/product/7350124429213?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Handkräm
Jotun Ergo Målarfärg;7369603790115;124,04;;http://example.com/product/7369603790115?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Målarfärg
Gillette Men Balsam;7371811082039;684,95;;http://example.com/product/7371811082039?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Balsam
Dior Men Deodorant 1kg;7364670236679;293,82;;http://example.com/product/7364670236679?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Deodorant
Dogman Grain Free Hundfoder XL;7351175471699;1515,74;;http://example.com/product/7351175471699?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Hundfoder
Marabou Zero Chips;7323196699348;1788,42;;http://example.com/product/7323196699348?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Chips
Nike Oversized Kalsonger;7387069020898;2110,73;;http://example.com/product/7387069020898?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Kalsonger
Dogman Chicken Tuggben;7341315217222;923,73;;http://example.com/product/7341315217222?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Tuggben
Beckers Heavy Duty Arbetsbyxa XL;7353331982345;285,31;412,11;http://example.com/product/7353331982345?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Arbetsbyxa
Löfbergs Zero Läsk;7344175466681;763,97;;http://example.com/product/7344175466681?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Läsk
Turtle Wax 5W-30 Torkarblad;7395509890918;95,96;;http://example.com/product/7395509890918?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Torkarblad
Jotun Heavy Duty Såg;7347863585644;1464,78;;http://example.com/product/7347863585644?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Såg
Flux Forte Handkräm 1kg;7391824710620;1651,21;;http://example.com/product/7391824710620?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Handkräm
Head & Shoulders Active Mascara;7342129312206;1844,56;;http://example.com/product/7342129312206?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Mascara
Hugo Boss Pro Parfym;7362655236345;94,95;;http://example.com/product/7362655236345?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Parfym
Bahco Heavy Duty Tumstock 2-pack;7379760034791;783,43;1138,11;http://example.com/product/7379760034791?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Tumstock
Nintendo Pro Hörlurar;7396696909218;1085,66;1506,17;http://example.com/product/7396696909218?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Hörlurar
Philips Classic Städmopp 50ml;7339230864058;1353,80;2018,71;http://example.com/product/7339230864058?store=Apotea;https://placehold.co/400x400/e2e8f0/1e293b?text=Städmopp
