Produktnamn;EAN;Pris;Ordinarie pris;Länk;Bildlänk
Pepsodent Max Munskölj;7323571446436;1113,22;;http://example.com/product/7323571446436?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Munskölj
H&M Classic Jacka;7336897102960;1472,89;;http://example.com/product/7336897102960?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Jacka
Oral-B Daily Nässpray 1kg;7396328762356;2296,01;;http://example.com/product/7396328762356?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Nässpray
DeWalt Pro Tumstock;7319669922242;985,99;;http://example.com/product/7319669922242?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Tumstock
ACO Original Värktablett;7343184559613;1616,92;;http://example.com/product/7343184559613?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Värktablett
Turtle Wax Extreme Motorolja 50ml;7335436244881;1161,61;;http://example.com/product/7335436244881?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Motorolja
Dove Repair Parfym;7389236152990;1181,08;;http://example.com/product/7389236152990?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Parfym
Castrol 5W-30 Bilvax;7354197112003;1734,06;;http://example.com/product/7354197112003?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Bilvax
Turtle Wax Shine Motorolja;7396778874285;1808,53;2625,18;http://example.com/product/7396778874285?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Motorolja
Zara Slim Fit Tröja 1kg;7371996716561;1567,12;2268,41;http://example.com/product/7371996716561?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Tröja
Asus Fast Gaming Mus;7362704324792;930,42;;http://example.com/product/7362704324792?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Gaming Mus
Estrella Mjölkchoklad Nötter 50ml;7382038790446;790,75;1175,37;http://example.com/product/7382038790446?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Nötter
Head & Shoulders Men Schampo 1kg;7381536722524;659,82;;http://example.com/product/7381536722524?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Schampo
Via Soft Kastrull 2-pack;7336077001834;1831,17;;http://example.com/product/7336077001834?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Kastrull
Ipren Mint Nässpray;7391353664066;1417,24;;http://example.com/product/7391353664066?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Nässpray
Gymshark Whey Sport-BH 50ml;7386301932687;1090,90;1420,64;http://example.com/product/7386301932687?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Sport-BH
Alvedon Mint Nässpray 1kg;7393261835819;1424,49;;http://example.com/product/7393261835819?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Nässpray
Puma Isolate Löparskor 50ml;7315272950028;247,06;326,72;http://example.com/product/7315272950028?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Löparskor
JBL Fast Laptop;7338534713810;680,57;;http://example.com/product/7338534713810?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Laptop
Philips Classic Tvättmedel 50ml;7397872659430;2344,95;;http://example.com/product/7397872659430?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Tvättmedel
Royal Canin Chicken Hundfoder;7322521752070;1910,99;;http://example.com/product/7322521752070?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Hundfoder
Ipren Mint Handkräm 1kg;7350124429213;1165,29;;http://example.com/product/7350124429213?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Handkräm
Head & Shoulders Sensitive Rakhyvel 1kg;7324444414202;829,39;;http://example.com/product/7324444414202?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Rakhyvel
Jotun Ergo Målarfärg;7369603790115;122,01;;http://example.com/product/7369603790115?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Målarfärg
Gillette Men Balsam;7371811082039;679,29;;http://example.com/product/7371811082039?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Balsam
Zoegas Grill Nötter 50ml;7352354076939;454,01;;http://example.com/product/7352354076939?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Nötter
Dior Men Deodorant 1kg;7364670236679;281,11;;http://example.com/product/7364670236679?store=Clas Ohlson;https://placehold.co/400x400/e2e8f0/1e293b?text=Deodorant
