Produktnamn;EAN;Pris;Ordinarie pris;Länk;Bildlänk
H&M Classic Jacka;7336897102960;1508,76;;http://example.com/product/7336897102960?store=Kicks;https://placehold.co/400x400/e2e8f0/1e293b?text=Jacka
Philips Noise Cancelling Laptop;7395177111887;929,17;;http://example.com/product/7395177111887?store=Kicks;https://placehold.co/400x400/e2e8f0/1e293b?text=Laptop
ACO Original Värktablett;7343184559613;1263,79;1639,09;http://example.com/product/7343184559613?store=Kicks;https://placehold.co/400x400/e2e8f0/1e293b?text=Värktablett
Löfbergs Grill Chips 1kg;7350848862275;1275,30;;http://example.com/product/7350848862275?store=Kicks;https://placehold.co/400x400/e2e8f0/1e293b?text=Chips
Dove Repair Parfym;7389236152990;1345,60;;http://example.com/product/7389236152990?store=Kicks;https://placehold.co/400x400/e2e8f0/1e293b?text=Parfym
Castrol 5W-30 Bilvax;7354197112003;1643,83;;http://example.com/product/7354197112003?store=Kicks;https://placehold.co/400x400/e2e8f0/1e293b?text=Bilvax
Turtle Wax Shine Motorolja;7396778874285;2267,41;;http://example.com/product/7396778874285?store=Kicks;https://placehold.co/400x400/e2e8f0/1e293b?text=Motorolja
Zara Slim Fit Tröja 1kg;7371996716561;1270,06;;http://example.com/product/7371996716561?store=Kicks;https://placehold.co/400x400/e2e8f0/1e293b?text=Tröja
Asus Fast Gaming Mus;7362704324792;925,83;;http://example.com/product/7362704324792?store=Kicks;https://placehold.co/400x400/e2e8f0/1e293b?text=Gaming Mus
Adidas Slim Fit Skjorta 50ml;7316983020073;1336,73;;http://example.com/product/7316983020073?store=Kicks;https://placehold.co/400x400/e2e8f0/1e293b?text=Skjorta
Estrella Mjölkchoklad Nötter 50ml;7382038790446;795,49;;http://example.com/product/7382038790446?store=Kicks;https://placehold.co/400x400/e2e8f0/1e293b?text=Nötter
Better Bodies Pro Vattenflaska;7344636036039;868,57;;http://example.com/product/7344636036039?store=Kicks;https://placehold.co/400x400/e2e8f0/1e293b?text=Vattenflaska
Head & Shoulders Men Schampo 1kg;7381536722524;614,09;;http://example.com/product/7381536722524?store=Kicks;https://placehold.co/400x400/e2e8f0/1e293b?text=Schampo
