Produktnamn;EAN;Pris;Ordinarie pris;Länk;Bildlänk
Pepsodent Max Munskölj;7323571446436;1348,04;;http://example.com/product/7323571446436?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Munskölj
H&M Classic Jacka;7336897102960;1904,66;;http://example.com/product/7336897102960?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Jacka
Philips Noise Cancelling Laptop;7395177111887;1115,73;;http://example.com/product/7395177111887?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Laptop
DeWalt Pro Tumstock;7319669922242;991,50;;http://example.com/product/7319669922242?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Tumstock
Turtle Wax Extreme Motorolja 50ml;7335436244881;1269,80;;http://example.com/product/7335436244881?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Motorolja
Löfbergs Grill Chips 1kg;7350848862275;1183,05;;http://example.com/product/7350848862275?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Chips
Dove Repair Parfym;7389236152990;1447,58;;http://example.com/product/7389236152990?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Parfym
Castrol 5W-30 Bilvax;7354197112003;1856,76;;http://example.com/product/7354197112003?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Bilvax
Yes Eco Städmopp 2-pack;7344917656639;1986,00;;http://example.com/product/7344917656639?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Städmopp
Turtle Wax Shine Motorolja;7396778874285;1783,41;;http://example.com/product/7396778874285?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Motorolja
Zara Slim Fit Tröja 1kg;7371996716561;1295,57;;http://example.com/product/7371996716561?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Tröja
Estrella Mjölkchoklad Nötter 50ml;7382038790446;641,08;;http://example.com/product/7382038790446?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Nötter
Head & Shoulders Men Schampo 1kg;7381536722524;587,65;;http://example.com/product/7381536722524?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Schampo
Via Soft Kastrull 2-pack;7336077001834;1637,16;;http://example.com/product/7336077001834?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Kastrull
Via Classic Kniv XL;7394472480029;876,20;1237,02;http://example.com/product/7394472480029?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Kniv
Ipren Mint Nässpray;7391353664066;1749,71;2318,46;http://example.com/product/7391353664066?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Nässpray
Gymshark Whey Sport-BH 50ml;7386301932687;1038,70;;http://example.com/product/7386301932687?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Sport-BH
H&M Blue T-shirt 2-pack;7372575256558;378,46;;http://example.com/product/7372575256558?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=T-shirt
L'Oreal Active Schampo;7397808743756;556,18;;http://example.com/product/7397808743756?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Schampo
Puma Isolate Löparskor 50ml;7315272950028;279,03;;http://example.com/product/7315272950028?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Löparskor
Whiskas Chicken Hundleksak;7345497836909;163,60;;http://example.com/product/7345497836909?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Hundleksak
JBL Fast Laptop;7338534713810;670,74;863,10;http://example.com/product/7338534713810?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Laptop
Philips Classic Tvättmedel 50ml;7397872659430;2304,47;;http://example.com/product/7397872659430?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Tvättmedel
Royal Canin Chicken Hundfoder;7322521752070;2299,00;;http://example.com/product/7322521752070?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Hundfoder
Ipren Mint Handkräm 1kg;7350124429213;996,33;;http://example.com/product/7350124429213?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Handkräm
Apple Gaming Powerbank 500ml;7327918122418;874,05;;http://example.com/product/7327918122418?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Powerbank
Head & Shoulders Sensitive Rakhyvel 1kg;7324444414202;914,77;;http://example.com/product/7324444414202?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Rakhyvel
Jotun Ergo Målarfärg;7369603790115;122,66;;http://example.com/product/7369603790115?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Målarfärg
DeWalt Heavy Duty Hammare;7341383315182;1271,77;;http://example.com/product/7341383315182?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Hammare
Gillette Men Balsam;7371811082039;674,33;;http://example.com/product/7371811082039?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Balsam
Zoegas Grill Nötter 50ml;7352354076939;526,89;;http://example.com/product/7352354076939?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Nötter
Dior Men Deodorant 1kg;7364670236679;274,68;;http://example.com/product/7364670236679?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Deodorant
Marabou Zero Chips;7323196699348;1387,06;;http://example.com/product/7323196699348?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Chips
Philips Power Tvättmedel;7368692231079;1396,56;;http://example.com/product/7368692231079?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Tvättmedel
IKEA Classic Kastrull;7317459731884;824,92;;http://example.com/product/7317459731884?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Kastrull
Zoegas Saltad Chips XL;7351009194553;1984,06;;http://example.com/product/7351009194553?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Chips
Makita Vit Såg 50ml;7344329740177;1834,87;;http://example.com/product/7344329740177?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Såg
Beckers Heavy Duty Arbetsbyxa XL;7353331982345;292,94;;http://example.com/product/7353331982345?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Arbetsbyxa
Turtle Wax 5W-30 Torkarblad;7395509890918;96,52;;http://example.com/product/7395509890918?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Torkarblad
Jotun Heavy Duty Såg;7347863585644;1659,66;;http://example.com/product/7347863585644?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Såg
Electrolux Smart Städmopp XL;7315605855535;1285,68;;http://example.com/product/7315605855535?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Städmopp
Hugo Boss Pro Parfym;7362655236345;82,09;;http://example.com/product/7362655236345?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Parfym
Bosch Shine Bilvax;7313882268450;1837,32;2732,35;http://example.com/product/7313882268450?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Bilvax
Purina Adult Hundfoder;7328525555735;1121,28;;http://example.com/product/7328525555735?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Hundfoder
Levi's Summer Jacka;7313956314929;290,25;;http://example.com/product/7313956314929?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Jacka
Bahco Heavy Duty Tumstock 2-pack;7379760034791;899,66;;http://example.com/product/7379760034791?store=Komplett;https://placehold.co/400x400/e2e8f0/1e293b?text=Tumstock
