Produktnamn;EAN;Pris;Ordinarie pris;Länk;Bildlänk
Philips Noise Cancelling Laptop;7395177111887;1163,19;;http://example.com/product/7395177111887?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Laptop
H&M Summer Jacka 500ml;7386673939136;600,07;;http://example.com/product/7386673939136?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Jacka
ACO Original Värktablett;7343184559613;1399,61;;http://example.com/product/7343184559613?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Värktablett
Turtle Wax Extreme Motorolja 50ml;7335436244881;1461,13;2102,30;http://example.com/product/7335436244881?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Motorolja
Löfbergs Grill Chips 1kg;7350848862275;992,42;;http://example.com/product/7350848862275?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Chips
Castrol 5W-30 Bilvax;7354197112003;1950,25;;http://example.com/product/7354197112003?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Bilvax
Yes Eco Städmopp 2-pack;7344917656639;1883,83;;http://example.com/product/7344917656639?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Städmopp
Turtle Wax Shine Motorolja;7396778874285;2012,63;;http://example.com/product/7396778874285?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Motorolja
Zara Slim Fit Tröja 1kg;7371996716561;1230,59;;http://example.com/product/7371996716561?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Tröja
Adidas Slim Fit Skjorta 50ml;7316983020073;1670,31;;http://example.com/product/7316983020073?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Skjorta
Estrella Mjölkchoklad Nötter 50ml;7382038790446;807,77;;http://example.com/product/7382038790446?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Nötter
Better Bodies Pro Vattenflaska;7344636036039;831,62;;http://example.com/product/7344636036039?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Vattenflaska
Head & Shoulders Men Schampo 1kg;7381536722524;656,31;;http://example.com/product/7381536722524?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Schampo
Via Classic Kniv XL;7394472480029;893,12;;http://example.com/product/7394472480029?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Kniv
Ipren Mint Nässpray;7391353664066;1483,67;;http://example.com/product/7391353664066?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Nässpray
H&M Blue T-shirt 2-pack;7372575256558;341,72;;http://example.com/product/7372575256558?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=T-shirt
L'Oreal Active Schampo;7397808743756;608,42;;http://example.com/product/7397808743756?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Schampo
Alvedon Mint Nässpray 1kg;7393261835819;1701,00;;http://example.com/product/7393261835819?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Nässpray
Puma Isolate Löparskor 50ml;7315272950028;257,81;;http://example.com/product/7315272950028?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Löparskor
Whiskas Chicken Hundleksak;7345497836909;137,21;;http://example.com/product/7345497836909?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Hundleksak
JBL Fast Laptop;7338534713810;681,00;;http://example.com/product/7338534713810?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Laptop
Ipren Mint Handkräm 1kg;7350124429213;1058,19;;http://example.com/product/7350124429213?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Handkräm
Apple Gaming Powerbank 500ml;7327918122418;765,86;;http://example.com/product/7327918122418?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Powerbank
Head & Shoulders Sensitive Rakhyvel 1kg;7324444414202;758,15;;http://example.com/product/7324444414202?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Rakhyvel
DeWalt Heavy Duty Hammare;7341383315182;1077,86;;http://example.com/product/7341383315182?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Hammare
Bosch Winter Motorolja 50ml;7320267822210;590,31;;http://example.com/product/7320267822210?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Motorolja
Zoegas Grill Nötter 50ml;7352354076939;406,38;;http://example.com/product/7352354076939?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Nötter
Dior Men Deodorant 1kg;7364670236679;264,71;;http://example.com/product/7364670236679?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Deodorant
Dogman Grain Free Hundfoder XL;7351175471699;1362,79;1781,35;http://example.com/product/7351175471699?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Hundfoder
Apple Bluetooth Powerbank 50ml;7316727163923;1993,56;;http://example.com/product/7316727163923?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Powerbank
Marabou Zero Chips;7323196699348;1664,00;;http://example.com/product/7323196699348?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Chips
Nike Oversized Kalsonger;7387069020898;2205,43;;http://example.com/product/7387069020898?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Kalsonger
Philips Power Tvättmedel;7368692231079;1311,71;;http://example.com/product/7368692231079?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Tvättmedel
IKEA Classic Kastrull;7317459731884;649,65;;http://example.com/product/7317459731884?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Kastrull
Zoegas Saltad Chips XL;7351009194553;2077,87;;http://example.com/product/7351009194553?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Chips
Dogman Chicken Tuggben;7341315217222;985,82;1368,36;http://example.com/product/7341315217222?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Tuggben
Makita Vit Såg 50ml;7344329740177;2406,34;;http://example.com/product/7344329740177?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Såg
Asus Fast Skärmskydd;7326381449903;1615,63;;http://example.com/product/7326381449903?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Skärmskydd
Löfbergs Zero Läsk;7344175466681;941,75;;http://example.com/product/7344175466681?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Läsk
Turtle Wax 5W-30 Torkarblad;7395509890918;86,23;;http://example.com/product/7395509890918?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Torkarblad
Jotun Heavy Duty Såg;7347863585644;1907,71;2647,29;http://example.com/product/7347863585644?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Såg
Electrolux Smart Städmopp XL;7315605855535;1229,76;;http://example.com/product/7315605855535?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Städmopp
Flux Forte Handkräm 1kg;7391824710620;1572,14;;http://example.com/product/7391824710620?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Handkräm
Head & Shoulders Active Mascara;7342129312206;2143,22;2901,05;http://example.com/product/7342129312206?store=Lyko;https://placehold.co/400x400/e2e8f0/1e293b?text=Mascara
