Produktnamn;EAN;Pris;Ordinarie pris;Länk;Bildlänk
H&M Classic Jacka;7336897102960;1558,90;;http://example.com/product/7336897102960?store=Nordicfeel;https://placehold.co/400x400/e2e8f0/1e293b?text=Jacka
Philips Noise Cancelling Laptop;7395177111887;986,70;;http://example.com/product/7395177111887?store=Nordicfeel;https://placehold.co/400x400/e2e8f0/1e293b?text=Laptop
H&M Summer Jacka 500ml;7386673939136;550,66;;http://example.com/product/7386673939136?store=Nordicfeel;https://placehold.co/400x400/e2e8f0/1e293b?text=Jacka
Oral-B Daily Nässpray 1kg;7396328762356;2503,31;;http://example.com/product/7396328762356?store=Nordicfeel;https://placehold.co/400x400/e2e8f0/1e293b?text=Nässpray
DeWalt Pro Tumstock;7319669922242;1184,71;1713,42;http://example.com/product/7319669922242?store=Nordicfeel;https://placehold.co/400x400/e2e8f0/1e293b?text=Tumstock
ACO Original Värktablett;7343184559613;1295,19;;http://example.com/product/7343184559613?store=Nordicfeel;https://placehold.co/400x400/e2e8f0/1e293b?text=Värktablett
Löfbergs Grill Chips 1kg;7350848862275;1241,47;;http://example.com/product/7350848862275?store=Nordicfeel;https://placehold.co/400x400/e2e8f0/1e293b?text=Chips
Dove Repair Parfym;7389236152990;1150,64;;http://example.com/product/7389236152990?store=Nordicfeel;https://placehold.co/400x400/e2e8f0/1e293b?text=Parfym
Castrol 5W-30 Bilvax;7354197112003;1647,15;;http://example.com/product/7354197112003?store=Nordicfeel;https://placehold.co/400x400/e2e8f0/1e293b?text=Bilvax
Yes Eco Städmopp 2-pack;7344917656639;1826,31;;http://example.com/product/7344917656639?store=Nordicfeel;https://placehold.co/400x400/e2e8f0/1e293b?text=Städmopp
Turtle Wax Shine Motorolja;7396778874285;2185,98;;http://example.com/product/7396778874285?store=Nordicfeel;https://placehold.co/400x400/e2e8f0/1e293b?text=Motorolja
Asus Fast Gaming Mus;7362704324792;1039,79;;http://example.com/product/7362704324792?store=Nordicfeel;https://placehold.co/400x400/e2e8f0/1e293b?text=Gaming Mus
Adidas Slim Fit Skjorta 50ml;7316983020073;1305,02;;http://example.com/product/7316983020073?store=Nordicfeel;https://placehold.co/400x400/e2e8f0/1e293b?text=Skjorta
Estrella Mjölkchoklad Nötter 50ml;7382038790446;742,79;;http://example.com/product/7382038790446?store=Nordicfeel;https://placehold.co/400x400/e2e8f0/1e293b?text=Nötter
