Produktnamn;EAN;Pris;Ordinarie pris;Länk;Bildlänk
Nike Whey Träningstights;7332547205841;967,84;;http://example.com/product/7332547205841?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Träningstights
Turtle Wax Shine Motorolja XL;7335855658671;35,34;;http://example.com/product/7335855658671?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Motorolja
Gant Blue Skjorta;7333409910177;1057,70;;http://example.com/product/7333409910177?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Skjorta
Jotun Heavy Duty Hammare XL;7331764245765;1089,52;1619,82;http://example.com/product/7331764245765?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Hammare
OLW Grill Nötter 1kg;7341467408280;382,20;;http://example.com/product/7341467408280?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Nötter
Nike Dry-Fit Löparskor XL;7361943223854;867,48;;http://example.com/product/7361943223854?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Löparskor
Bosch Heavy Duty Tumstock;7383713914309;2107,22;3071,37;http://example.com/product/7383713914309?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Tumstock
Fiskars Original Kastrull 500ml;7363491032898;436,91;;http://example.com/product/7363491032898?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Kastrull
Gymshark Pro Träningstights 50ml;7348965860650;1442,93;;http://example.com/product/7348965860650?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Träningstights
Dogman Adult Hundleksak 1kg;7313311469155;2595,85;;http://example.com/product/7313311469155?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Hundleksak
Orijen Large Breed Hundfoder 500ml;7344727095095;1536,50;;http://example.com/product/7344727095095?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Hundfoder
Orijen Sensitive Kattsand 2-pack;7343546067681;1214,31;1487,07;http://example.com/product/7343546067681?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Kattsand
Pepsodent Original Vitaminer;7353906187529;733,10;;http://example.com/product/7353906187529?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Vitaminer
Hugo Boss Gold Schampo 1kg;7311437905637;1645,66;;http://example.com/product/7311437905637?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Schampo
Dogman Adult Hundleksak;7386378240244;1788,53;;http://example.com/product/7386378240244?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Hundleksak
Mobil1 Winter Avfettning 50ml;7367029342536;646,78;;http://example.com/product/7367029342536?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Avfettning
Fiskars Original Doftljus;7394530512509;569,36;;http://example.com/product/7394530512509?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Doftljus
Gillette Pro Balsam 500ml;7318083516504;2838,10;3470,19;http://example.com/product/7318083516504?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Balsam
Puma Isolate Yogamatta;7387092180316;98,74;;http://example.com/product/7387092180316?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Yogamatta
Pedigree Grain Free Hundfoder;7393679902738;467,11;;http://example.com/product/7393679902738?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Hundfoder
Beckers Ergo Såg XL;7362116364799;1913,58;2787,55;http://example.com/product/7362116364799?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Såg
Löfbergs Grill Läsk;7391203896068;546,35;;http://example.com/product/7391203896068?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Läsk
Versace Active Balsam XL;7390885546835;609,68;;http://example.com/product/7390885546835?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Balsam
Better Bodies Dry-Fit BCAA 1kg;7356211103228;1218,18;;http://example.com/product/7356211103228?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=BCAA
Zara Classic Kalsonger XL;7372630517632;596,73;892,01;http://example.com/product/7372630517632?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Kalsonger
ACO Gel Vitaminer;7376707756888;2099,01;;http://example.com/product/7376707756888?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Vitaminer
Sony Fast Tangentbord 2-pack;7386518566048;1285,83;;http://example.com/product/7386518566048?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Tangentbord
Purina Grain Free Hundleksak;7336852332932;1084,83;;http://example.com/product/7336852332932?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Hundleksak
Better Bodies Performance Löparskor;7363934407890;1488,34;;http://example.com/product/7363934407890?store=Sportamore;https://placehold.co/400x400/e2e8f0/1e293b?text=Löparskor
