Produktnamn;EAN;Pris;Ordinarie pris;Länk;Bildlänk
Versace Men Rakhyvel Large;7329094225480;620,72;;http://example.com/product/7329094225480;https://placehold.co/400x400/e2e8f0/1e293b?text=Rakhyvel
Nike Whey Vattenflaska;7364041484604;1479,06;2061,49;http://example.com/product/7364041484604;https://placehold.co/400x400/e2e8f0/1e293b?text=Vattenflaska
Sony Ultra USB-kabel 50ml;7318154912319;157,62;;http://example.com/product/7318154912319;https://placehold.co/400x400/e2e8f0/1e293b?text=USB-kabel
Whiskas Sensitive Tuggben 50ml;7343570855836;1001,54;;http://example.com/product/7343570855836;https://placehold.co/400x400/e2e8f0/1e293b?text=Tuggben
Star Nutrition Performance BCAA;7364998512560;930,64;1322,82;http://example.com/product/7364998512560;https://placehold.co/400x400/e2e8f0/1e293b?text=BCAA
Dove Repair Rakhyvel Large;7317950927850;984,37;;http://example.com/product/7317950927850;https://placehold.co/400x400/e2e8f0/1e293b?text=Rakhyvel
Gymshark Pro Yogamatta;7369051328215;996,96;1489,84;http://example.com/product/7369051328215;https://placehold.co/400x400/e2e8f0/1e293b?text=Yogamatta
Dior Repair Parfym 1kg;7340174457894;1454,58;;http://example.com/product/7340174457894;https://placehold.co/400x400/e2e8f0/1e293b?text=Parfym
Hugo Boss Volume Mascara 1kg;7315762391927;627,69;;http://example.com/product/7315762391927;https://placehold.co/400x400/e2e8f0/1e293b?text=Mascara
Adidas Black Sport-BH;7358875501742;264,78;;http://example.com/product/7358875501742;https://placehold.co/400x400/e2e8f0/1e293b?text=Sport-BH
Sony Ultra Gaming Mus Large;7371357117176;505,96;615,81;http://example.com/product/7371357117176;https://placehold.co/400x400/e2e8f0/1e293b?text=Gaming Mus
Asus Ultra Powerbank Large;7370758173660;157,08;;http://example.com/product/7370758173660;https://placehold.co/400x400/e2e8f0/1e293b?text=Powerbank
Dogman Adult Kattmat 50ml;7386898056599;1001,03;;http://example.com/product/7386898056599;https://placehold.co/400x400/e2e8f0/1e293b?text=Kattmat
Nintendo Fast Laddare 1kg;7399653275357;444,42;;http://example.com/product/7399653275357;https://placehold.co/400x400/e2e8f0/1e293b?text=Laddare
Dogman Adult Hundleksak;7313009228501;741,34;1087,18;http://example.com/product/7313009228501;https://placehold.co/400x400/e2e8f0/1e293b?text=Hundleksak
Purina Adult Kattmat;7366193076221;1200,59;;http://example.com/product/7366193076221;https://placehold.co/400x400/e2e8f0/1e293b?text=Kattmat
Via Power Städmopp 2-pack;7346504956311;460,00;617,81;http://example.com/product/7346504956311;https://placehold.co/400x400/e2e8f0/1e293b?text=Städmopp
Dior Sensitive Ansiktskräm;7386156370065;172,75;244,03;http://example.com/product/7386156370065;https://placehold.co/400x400/e2e8f0/1e293b?text=Ansiktskräm
Star Nutrition Isolate Yogamatta;7393099773358;555,79;;http://example.com/product/7393099773358;https://placehold.co/400x400/e2e8f0/1e293b?text=Yogamatta
Fiskars Classic LED Lampa 1kg;7347912853424;981,05;;http://example.com/product/7347912853424;https://placehold.co/400x400/e2e8f0/1e293b?text=LED Lampa
Hugo Boss Gold Ansiktskräm;7325359295195;1058,48;1617,70;http://example.com/product/7325359295195;https://placehold.co/400x400/e2e8f0/1e293b?text=Ansiktskräm
Royal Canin Sensitive Tuggben 500ml;7394112435999;1155,46;;http://example.com/product/7394112435999;https://placehold.co/400x400/e2e8f0/1e293b?text=Tuggben
Versace Pro Balsam 2-pack;7313859822016;741,46;;http://example.com/product/7313859822016;https://placehold.co/400x400/e2e8f0/1e293b?text=Balsam
Purina Beef Bajspåsar;7370825172805;1174,91;;http://example.com/product/7370825172805;https://placehold.co/400x400/e2e8f0/1e293b?text=Bajspåsar
Head & Shoulders Fresh Schampo;7382954792800;232,09;;http://example.com/product/7382954792800;https://placehold.co/400x400/e2e8f0/1e293b?text=Schampo
Gillette Men Parfym 1kg;7344947890550;1380,17;;http://example.com/product/7344947890550;https://placehold.co/400x400/e2e8f0/1e293b?text=Parfym
Purina Large Breed Kattmat 50ml;7364324285236;751,35;;http://example.com/product/7364324285236;https://placehold.co/400x400/e2e8f0/1e293b?text=Kattmat
Fiskars Eco Stekpanna;7346227475024;73,32;;http://example.com/product/7346227475024;https://placehold.co/400x400/e2e8f0/1e293b?text=Stekpanna
Nike Seamless Yogamatta;7314645244700;221,65;272,98;http://example.com/product/7314645244700;https://placehold.co/400x400/e2e8f0/1e293b?text=Yogamatta
Nivea Gold Parfym 2-pack;7318086656227;496,01;;http://example.com/product/7318086656227;https://placehold.co/400x400/e2e8f0/1e293b?text=Parfym
L'Oreal Active Mascara 50ml;7373387081120;854,56;;http://example.com/product/7373387081120;https://placehold.co/400x400/e2e8f0/1e293b?text=Mascara
Yes Original Doftljus;7318978524125;806,01;;http://example.com/product/7318978524125;https://placehold.co/400x400/e2e8f0/1e293b?text=Doftljus
Sony Fast Laddare;7327447937227;1299,53;;http://example.com/product/7327447937227;https://placehold.co/400x400/e2e8f0/1e293b?text=Laddare
Nike Pro Yogamatta;7371747748920;1444,27;;http://example.com/product/7371747748920;https://placehold.co/400x400/e2e8f0/1e293b?text=Yogamatta
JBL Bluetooth Tangentbord;7399672980261;1258,80;;http://example.com/product/7399672980261;https://placehold.co/400x400/e2e8f0/1e293b?text=Tangentbord
L'Oreal Repair Rakhyvel 1kg;7399355925748;1157,56;;http://example.com/product/7399355925748;https://placehold.co/400x400/e2e8f0/1e293b?text=Rakhyvel
Head & Shoulders Pro Rakhyvel Large;7314386734558;404,66;;http://example.com/product/7314386734558;https://placehold.co/400x400/e2e8f0/1e293b?text=Rakhyvel
Samsung Gaming Gaming Mus;7319861578730;169,47;;http://example.com/product/7319861578730;https://placehold.co/400x400/e2e8f0/1e293b?text=Gaming Mus
Philips Soft Kniv 500ml;7369591468586;1397,43;2040,94;http://example.com/product/7369591468586;https://placehold.co/400x400/e2e8f0/1e293b?text=Kniv
Gillette Sensitive Balsam 2-pack;7377753552214;567,36;;http://example.com/product/7377753552214;https://placehold.co/400x400/e2e8f0/1e293b?text=Balsam
Gymshark Seamless Yogamatta;7324957580969;910,52;;http://example.com/product/7324957580969;https://placehold.co/400x400/e2e8f0/1e293b?text=Yogamatta
Head & Shoulders Volume Balsam Large;7381836747591;1249,10;1710,29;http://example.com/product/7381836747591;https://placehold.co/400x400/e2e8f0/1e293b?text=Balsam
Royal Canin Adult Katthalsband 50ml;7370472096354;863,50;;http://example.com/product/7370472096354;https://placehold.co/400x400/e2e8f0/1e293b?text=Katthalsband
Tefal Smart Doftljus 50ml;7354572982742;435,06;;http://example.com/product/7354572982742;https://placehold.co/400x400/e2e8f0/1e293b?text=Doftljus
Tefal Power Kniv;7374983629734;115,10;;http://example.com/product/7374983629734;https://placehold.co/400x400/e2e8f0/1e293b?text=Kniv
L'Oreal Men Ansiktskräm;7375847038036;204,74;;http://example.com/product/7375847038036;https://placehold.co/400x400/e2e8f0/1e293b?text=Ansiktskräm
Dove Active Schampo;7372138017705;1107,37;;http://example.com/product/7372138017705;https://placehold.co/400x400/e2e8f0/1e293b?text=Schampo
Star Nutrition Performance Protein;7358721600605;60,79;94,67;http://example.com/product/7358721600605;https://placehold.co/400x400/e2e8f0/1e293b?text=Protein
Versace Sensitive Deodorant;7323818795446;599,14;843,59;http://example.com/product/7323818795446;https://placehold.co/400x400/e2e8f0/1e293b?text=Deodorant
Philips Classic Tvättmedel 2-pack;7383722035867;657,96;907,46;http://example.com/product/7383722035867;https://placehold.co/400x400/e2e8f0/1e293b?text=Tvättmedel
Gillette Fresh Rakhyvel 1kg;7354894417007;850,93;;http://example.com/product/7354894417007;https://placehold.co/400x400/e2e8f0/1e293b?text=Rakhyvel
Head & Shoulders Sensitive Schampo;7317892992858;734,78;1053,07;http://example.com/product/7317892992858;https://placehold.co/400x400/e2e8f0/1e293b?text=Schampo
Samsung Fast Powerbank Large;7310503978484;345,23;;http://example.com/product/7310503978484;https://placehold.co/400x400/e2e8f0/1e293b?text=Powerbank
Fiskars Smart LED Lampa;7392748750916;899,04;;http://example.com/product/7392748750916;https://placehold.co/400x400/e2e8f0/1e293b?text=LED Lampa
Hugo Boss Men Deodorant;7391561689327;1464,97;;http://example.com/product/7391561689327;https://placehold.co/400x400/e2e8f0/1e293b?text=Deodorant
Via Soft Stekpanna 1kg;7365302877693;559,76;764,59;http://example.com/product/7365302877693;https://placehold.co/400x400/e2e8f0/1e293b?text=Stekpanna
Philips Pro Skärmskydd 500ml;7391635926694;475,37;630,52;http://example.com/product/7391635926694;https://placehold.co/400x400/e2e8f0/1e293b?text=Skärmskydd
Royal Canin Beef Hundfoder;7373625366054;592,88;;http://example.com/product/7373625366054;https://placehold.co/400x400/e2e8f0/1e293b?text=Hundfoder
Fiskars Classic Doftljus 50ml;7364519146023;459,03;;http://example.com/product/7364519146023;https://placehold.co/400x400/e2e8f0/1e293b?text=Doftljus
Whiskas Sensitive Hundfoder;7359208975999;887,48;;http://example.com/product/7359208975999;https://placehold.co/400x400/e2e8f0/1e293b?text=Hundfoder
Nivea Men Schampo 2-pack;7372054025308;946,10;;http://example.com/product/7372054025308;https://placehold.co/400x400/e2e8f0/1e293b?text=Schampo
Philips Eco Doftljus 2-pack;7343014991230;833,94;;http://example.com/product/7343014991230;https://placehold.co/400x400/e2e8f0/1e293b?text=Doftljus
Head & Shoulders Repair Balsam 50ml;7357073202265;585,75;;http://example.com/product/7357073202265;https://placehold.co/400x400/e2e8f0/1e293b?text=Balsam
Via Eco Stekpanna 50ml;7362806548594;577,14;;http://example.com/product/7362806548594;https://placehold.co/400x400/e2e8f0/1e293b?text=Stekpanna
Gymshark Seamless Protein 50ml;7376327141525;649,27;988,80;http://example.com/product/7376327141525;https://placehold.co/400x400/e2e8f0/1e293b?text=Protein
Philips Noise Cancelling Gaming Mus;7396519141749;1446,38;2301,62;http://example.com/product/7396519141749;https://placehold.co/400x400/e2e8f0/1e293b?text=Gaming Mus
Apple Pro Powerbank 1kg;7324928043678;1037,33;;http://example.com/product/7324928043678;https://placehold.co/400x400/e2e8f0/1e293b?text=Powerbank
Whiskas Sensitive Tuggben 50ml;7365408721762;637,10;;http://example.com/product/7365408721762;https://placehold.co/400x400/e2e8f0/1e293b?text=Tuggben
