Produktnamn;EAN;Pris;Ordinarie pris;Länk;Bildlänk
Head & Shoulders Repair Deodorant 50ml;7360829160615;283,56;;http://example.com/product/7360829160615;https://placehold.co/400x400?text=Head & Shoulders+Deodorant
Head & Shoulders Men Parfym 100ml;7363097254901;654,48;733,48;http://example.com/product/7363097254901;https://placehold.co/400x400?text=Head & Shoulders+Parfym
Head & Shoulders Men Foundation 50ml;7355337849660;512,79;;http://example.com/product/7355337849660;https://placehold.co/400x400?text=Head & Shoulders+Foundation
Head & Shoulders Sensitive Balsam 500ml;7390627348494;275,28;;http://example.com/product/7390627348494;https://placehold.co/400x400?text=Head & Shoulders+Balsam
Nivea Gold Schampo 500ml;7320243566323;293,16;376,37;http://example.com/product/7320243566323;https://placehold.co/400x400?text=Nivea+Schampo
Gillette Repair Ansiktskräm 50ml;7338970490126;683,60;;http://example.com/product/7338970490126;https://placehold.co/400x400?text=Gillette+Ansiktskräm
Head & Shoulders Fresh Mascara 500ml;7383685009445;392,34;;http://example.com/product/7383685009445;https://placehold.co/400x400?text=Head & Shoulders+Mascara
Nivea Repair Mascara 100ml;7327649524769;63,20;;http://example.com/product/7327649524769;https://placehold.co/400x400?text=Nivea+Mascara
Max Factor Sensitive Deodorant 100ml;7338853678383;138,05;;http://example.com/product/7338853678383;https://placehold.co/400x400?text=Max Factor+Deodorant
Maybelline Intense Ansiktskräm 50ml;7396122004623;353,38;;http://example.com/product/7396122004623;https://placehold.co/400x400?text=Maybelline+Ansiktskräm
Dior Active Mascara 50ml;7377906885149;837,90;1088,79;http://example.com/product/7377906885149;https://placehold.co/400x400?text=Dior+Mascara
Hugo Boss Classic Ansiktskräm 250ml;7363512116407;217,69;;http://example.com/product/7363512116407;https://placehold.co/400x400?text=Hugo Boss+Ansiktskräm
Nivea Gold Balsam 100ml;7384615496378;791,52;1027,22;http://example.com/product/7384615496378;https://placehold.co/400x400?text=Nivea+Balsam
Dove Intense Schampo 500ml;7366351071985;864,85;965,18;http://example.com/product/7366351071985;https://placehold.co/400x400?text=Dove+Schampo
Hugo Boss Active Balsam 100ml;7373390951395;231,29;;http://example.com/product/7373390951395;https://placehold.co/400x400?text=Hugo Boss+Balsam
L'Oreal Men Foundation 50ml;7338943131396;890,37;1208,42;http://example.com/product/7338943131396;https://placehold.co/400x400?text=L'Oreal+Foundation
Head & Shoulders Fresh Ansiktskräm 100ml;7362678837463;719,33;801,00;http://example.com/product/7362678837463;https://placehold.co/400x400?text=Head & Shoulders+Ansiktskräm
Max Factor Intense Vax 250ml;7355804679319;654,05;857,49;http://example.com/product/7355804679319;https://placehold.co/400x400?text=Max Factor+Vax
Gillette Volume Schampo 100ml;7346048219875;731,88;;http://example.com/product/7346048219875;https://placehold.co/400x400?text=Gillette+Schampo
Dove Sensitive Vax 100ml;7369573948930;175,65;;http://example.com/product/7369573948930;https://placehold.co/400x400?text=Dove+Vax
Maybelline Sensitive Foundation 500ml;7311072717657;72,02;;http://example.com/product/7311072717657;https://placehold.co/400x400?text=Maybelline+Foundation
Hugo Boss Pro Ansiktskräm 500ml;7331454183757;506,29;;http://example.com/product/7331454183757;https://placehold.co/400x400?text=Hugo Boss+Ansiktskräm
Maybelline Men Deodorant 500ml;7310542453443;519,53;591,71;http://example.com/product/7310542453443;https://placehold.co/400x400?text=Maybelline+Deodorant
Versace Sensitive Schampo 500ml;7398918256600;784,54;;http://example.com/product/7398918256600;https://placehold.co/400x400?text=Versace+Schampo
Gillette Gold Vax 500ml;7399685387862;827,67;;http://example.com/product/7399685387862;https://placehold.co/400x400?text=Gillette+Vax
Gillette Fresh Deodorant 50ml;7316484859914;717,59;;http://example.com/product/7316484859914;https://placehold.co/400x400?text=Gillette+Deodorant
Versace Intense Foundation 500ml;7328484766035;148,23;;http://example.com/product/7328484766035;https://placehold.co/400x400?text=Versace+Foundation
Versace Men Parfym 500ml;7360160076755;155,25;;http://example.com/product/7360160076755;https://placehold.co/400x400?text=Versace+Parfym
Nivea Intense Schampo 100ml;7379529027769;220,97;;http://example.com/product/7379529027769;https://placehold.co/400x400?text=Nivea+Schampo
Gillette Sensitive Ansiktskräm 500ml;7395779285939;582,71;;http://example.com/product/7395779285939;https://placehold.co/400x400?text=Gillette+Ansiktskräm
Gillette Active Ansiktskräm 50ml;7390028897194;658,31;;http://example.com/product/7390028897194;https://placehold.co/400x400?text=Gillette+Ansiktskräm
Dior Pro Mascara 50ml;7349595761760;212,91;;http://example.com/product/7349595761760;https://placehold.co/400x400?text=Dior+Mascara
Max Factor Fresh Foundation 500ml;7364754137264;330,19;438,24;http://example.com/product/7364754137264;https://placehold.co/400x400?text=Max Factor+Foundation
Nivea Volume Balsam 50ml;7362672292727;34,48;;http://example.com/product/7362672292727;https://placehold.co/400x400?text=Nivea+Balsam
Dove Intense Deodorant 50ml;7363531842863;441,18;;http://example.com/product/7363531842863;https://placehold.co/400x400?text=Dove+Deodorant
Dove Repair Vax 100ml;7373176558059;818,63;916,63;http://example.com/product/7373176558059;https://placehold.co/400x400?text=Dove+Vax
Versace Intense Foundation 500ml;7324032988821;447,86;;http://example.com/product/7324032988821;https://placehold.co/400x400?text=Versace+Foundation
Gillette Repair Mascara 50ml;7337532313369;67,10;98,94;http://example.com/product/7337532313369;https://placehold.co/400x400?text=Gillette+Mascara
Nivea Sensitive Schampo 250ml;7363048939917;782,75;;http://example.com/product/7363048939917;https://placehold.co/400x400?text=Nivea+Schampo
